"number","title","pageid","namespace","length","touched"
"1","Assistive_technology","653","","34591","20160619234634"
"2","Antimicrobial_resistance","1914","","130137","20160616221101"
"3","Beryllium","3378","","70799","20160618152305"
"4","Biostatistics","3878","","11322","20160619223730"
"5","Condom","5374","","103560","20160617165542"
"6","Chlorine","5667","","63962","20160617234303"
"7","Chromium","5669","","63384","20160617165542"
"8","Cadmium","5672","","53150","20160617165542"
"9","Carbohydrate","5932","","34885","20160617165542"
"10","Cholesterol","6437","","71038","20160618131851"
"11","Drink","7984","","48615","20160619162006"
"12","Dentistry","8005","","32761","20160617165542"
"13","Alcohol_intoxication","8011","","30816","20160616221101"
"14","Disease","8072","","40918","20160620002648"
"15","Eugenics","9737","","73046","20160617165542"
"16","Evidence-based_medicine","10013","","61140","20160617165542"
"17","Fatty_acid","10975","","35499","20160617165542"
"18","Fat","11042","","12661","20160617165542"
"19","Female_genital_mutilation","11408","","148381","20160618105201"
"20","Glucose","12950","","35869","20160617165542"
"21","Gluten","13152","","32681","20160614185849"
"22","Hypoxia_(medical)","13292","","25302","20160618082518"
"23","Hemiparesis","13528","","34687","20160609081927"
"24","Outline_of_health_sciences","14002","","4585","20160617151916"
"25","Erectile_dysfunction","14783","","27994","20160617200310"
"26","Involuntary_commitment","15416","","15138","20160619162006"
"27","Leisure","17503","","27621","20160618214323"
"28","Lead","17747","","107785","20160619144613"
"29","Medicine","18957","","76107","20160617235417"
"30","Manganese","19051","","60220","20160618224402"
"31","Midwifery","19391","","38392","20160617165542"
"32","MUMPS","19723","","37251","20160619162006"
"33","Mining","20381","","83079","20160617165542"
"34","Nutrition","21525","","113208","20160614083622"
"35","Physical_therapy","24022","","45564","20160617165542"
"36","Pandemic","24255","","67533","20160619042509"
"37","Psychotherapy","24931","","80095","20160617180706"
"38","Spermatozoon","27638","","22693","20160618191855"
"39","Starch","27711","","40010","20160618032156"
"40","Safe_sex","28845","","42939","20160617165542"
"41","Tadoma","31257","","2491","20160526130603"
"42","Vitamin","32512","","51772","20160618192331"
"43","Veterinary_medicine","32654","","24329","20160617165542"
"44","World_Health_Organization","33583","","68606","20160617165542"
"45","Toilet_paper","37993","","24268","20160617165542"
"46","Menstruation","38203","","40969","20160617202822"
"47","Electromagnetic_radiation_and_health","41098","","24964","20160616221101"
"48","Sex_education","42327","","76222","20160619162006"
"49","Mold_health_issues","42676","","38896","20160617165542"
"50","Anthrax","42898","","65940","20160616233932"
"51","Quality_of_life","47789","","27369","20160617072044"
"52","Pesticide","48340","","66434","20160620011124"
"53","Hearing_loss","49604","","107528","20160617165542"
"54","Menopause","49611","","75133","20160606020923"
"55","Fructose","50337","","54345","20160617165542"
"56","Precautionary_principle","50354","","47732","20160611111822"
"57","Thalidomide","51078","","76530","20160618145631"
"58","7-Dehydrocholesterol","52533","","5378","20160613040032"
"59","Physical_Quality_of_Life_Index","53690","","2049","20160617071603"
"60","Personal_protective_equipment","55530","","24159","20160617165542"
"61","Prostatitis","55922","","6246","20160606003310"
"62","Wildfire","56106","","150889","20160619150907"
"63","Disability","56285","","69342","20160618133302"
"64","Obesity","56435","","134660","20160618195546"
"65","Galactose","56527","","15900","20160619162006"
"66","List_of_notifiable_diseases","58948","","11020","20160526073259"
"67","Socialized_medicine","59111","","71030","20160616221101"
"68","Health_system","60976","","37636","20160617180251"
"69","Tannin","61983","","41396","20160619162006"
"70","Formaldehyde","63847","","62590","20160617165542"
"71","New_World_Syndrome","64073","","4426","20160606003310"
"72","Neonatal_heel_prick","65909","","5903","20160606003310"
"73","Dietary_fiber","66554","","83576","20160617165542"
"74","Epidemiology","66997","","53996","20160619223730"
"75","Testicle","67193","","31399","20160617165542"
"76","Ablution_in_Christianity","68554","","22621","20160617165542"
"77","Infant_mortality","71617","","80828","20160616221101"
"78","Prosthesis","72750","","70277","20160617165542"
"79","The_Forgotten_Frontier","73478","","2525","20160617165542"
"80","Altitude_sickness","77485","","32523","20160617165542"
"81","Health","80381","","38703","20160617165542"
"82","Childbirth","83449","","94335","20160617165542"
"83","Enema","83877","","37979","20160617092013"
"84","Priapism","83896","","12793","20160612140740"
"85","Herd_immunity","87175","","55488","20160616222956"
"86","Menstrual_cycle","88003","","65674","20160619214521"
"87","Benign_prostatic_hyperplasia","88164","","53594","20160617165542"
"88","Alcohol_dehydrogenase","89198","","38615","20160610162232"
"89","Ixchel","92273","","11023","20160606003310"
"90","Human_nutrition","93827","","117523","20160619162006"
"91","Spasticity","98998","","22889","20160615160723"
"92","Essential_amino_acid","102213","","16951","20160617191222"
"93","Substance_abuse","102959","","59985","20160619144011"
"94","Dental_dam","103367","","6696","20160606003310"
"95","Cancer","105219","","136830","20160617165542"
"96","Harm_reduction","137986","","72811","20160616222956"
"97","Hygiene","147020","","59086","20160619162006"
"98","Peyronie's_disease","147259","","15537","20160615211220"
"99","Pre-ejaculate","147494","","10899","20160611111822"
"100","Hunger","149422","","50802","20160607213532"
"101","Self-harm","150374","","69457","20160619012421"
"102","Female_ejaculation","155202","","60550","20160614000131"
"103","Ovulation","161856","","19714","20160618183709"
"104","All_My_Babies","165327","","3849","20160617165542"
"105","Advance_healthcare_directive","166146","","51953","20160616183541"
"106","Nocturnal_emission","167879","","15372","20160606003310"
"107","Glycogen","168986","","17187","20160617165542"
"108","Prenatal_care","169086","","23697","20160610231701"
"109","Dry_cleaning","172118","","23786","20160617165542"
"110","Food_energy","182303","","17248","20160614172533"
"111","Sanitation","184729","","36472","20160617165542"
"112","Amniotic_sac","187700","","6361","20160617165542"
"113","Case_mix","196022","","2672","20160526130603"
"114","1918_flu_pandemic","198796","","70258","20160617165542"
"115","Live_birth_(human)","199249","","2063","20160619162006"
"116","Early_Warning_and_Response_System","199433","","1409","20160604161456"
"117","Electric_shock","211889","","36164","20160619162006"
"118","Eating","212818","","16629","20160619155057"
"119","Doula","213694","","16983","20160606003310"
"120","Toxic_waste","216188","","21208","20160618231333"
"121","Indoor_air_quality","219736","","43827","20160616101828"
"122","Hypersexuality","220255","","24119","20160619190351"
"123","Built_environment","224985","","15234","20160615191747"
"124","Stillbirth","226748","","26429","20160617165542"
"125","Teenage_pregnancy","228824","","95049","20160616221101"
"126","Home_care","230857","","20720","20160619162006"
"127","Family_planning","231085","","46609","20160617165542"
"128","Dietary_element","235195","","31050","20160619171141"
"129","Appetite","235548","","16693","20160617165542"
"130","Morning_sickness","236300","","13240","20160617165542"
"131","Prostate_massage","238129","","11889","20160612140740"
"132","Alpha-fetoprotein","238706","","18903","20160616232959"
"133","Healing","239217","","7827","20160617165542"
"134","Photokeratitis","240096","","7768","20160613062913"
"135","Cochrane_Library","240766","","7754","20160619162006"
"136","Health_On_the_Net_Foundation","241271","","19548","20160617165542"
"137","Healthy_city","250320","","4796","20160615070116"
"138","Genetic_counseling","251487","","15497","20160617165542"
"139","Washing","253830","","3051","20160617165542"
"140","Medical_sociology","258952","","19003","20160606003310"
"141","Malnutrition","258979","","96767","20160618233437"
"142","Parenteral_nutrition","261773","","26192","20160616140350"
"143","Health_care","261925","","33647","20160618134414"
"144","Autoerotic_fatality","262772","","3759","20160606003310"
"145","Trans_fat","263487","","125041","20160613132237"
"146","Saturated_fat","264746","","49695","20160617192644"
"147","Unsaturated_fat","264748","","10215","20160615233200"
"148","Cost-effectiveness_analysis","265128","","7702","20160606003310"
"149","Incremental_cost-effectiveness_ratio","265132","","6390","20160606003310"
"150","Health_Economics","265751","","2675","20160619162006"
"151","Health_economics","265753","","23643","20160619162006"
"152","Reference_Daily_Intake","267488","","9493","20160606003310"
"153","Vaginismus","275206","","20600","20160612162053"
"154","Biosystems_engineering","276231","","13959","20160606003310"
"155","Chef","279684","","17044","20160620010256"
"156","Testicular_torsion","284827","","12478","20160606003310"
"157","Flavonoid","292340","","43251","20160617165542"
"158","Flavan-3-ol","292346","","12777","20160606003310"
"159","Birthing_center","297558","","7804","20160606003310"
"160","Testicular_cancer","300221","","41050","20160619080009"
"161","Medical_prescription","304263","","34928","20160618003106"
"162","Ethylene_oxide","306169","","97646","20160617165542"
"163","Pregnancy_test","311410","","19350","20160606003310"
"164","Environmental_health","314696","","17973","20160619162006"
"165","Therac-25","315212","","9652","20160614190507"
"166","Ecological_health","316910","","7221","20160612140740"
"167","French_paradox","319138","","30244","20160610200612"
"168","John_Boyd_Orr,_1st_Baron_Boyd-Orr","322276","","29276","20160617195459"
"169","Safety_data_sheet","337353","","36202","20160610092754"
"170","Holistic_health","337667","","5849","20160606003310"
"171","Healthcare_industry","349319","","14005","20160616221101"
"172","Men's_Health","349340","","26759","20160619162006"
"173","Dead_man's_switch","351284","","20479","20160616221101"
"174","Health_informatics","351581","","73678","20160618201631"
"175","Maternal_death","354076","","25335","20160618002948"
"176","Seminal_vesicle","355594","","15091","20160617165542"
"177","Gamow_bag","357147","","1934","20160619112129"
"178","Diacetyl","362930","","22595","20160617165542"
"179","Acetazolamide","366662","","16163","20160617183724"
"180","Medical_license","370604","","7457","20160617165542"
"181","Pesticide_poisoning","371486","","25742","20160617165542"
"182","Cleanliness","373677","","12783","20160617165542"
"183","Frostbite","377055","","13627","20160614171519"
"184","Foot_washing","378436","","28541","20160619055512"
"185","Postpartum_period","379967","","13576","20160617165542"
"186","Lifestyle_disease","382395","","12402","20160616060715"
"187","Edwin_Chadwick","382766","","10098","20160617165542"
"188","Smoking_ban","386818","","114920","20160617175322"
"189","Orphan_drug","395889","","30912","20160615165140"
"190","Dietary_Reference_Intake","396054","","21008","20160613211449"
"191","List_of_health_departments_and_ministries","403159","","12021","20160619053018"
"192","Glycemic_index","404226","","34110","20160617122449"
"193","Kegel_exercise","410851","","16865","20160612221920"
"194","Paraplegia","410866","","6620","20160606003310"
"195","Sexual_dysfunction","411851","","38514","20160616003757"
"196","Sterilization_(microbiology)","414144","","46324","20160617165542"
"197","Penile_fracture","414219","","6999","20160606003310"
"198","Post-coital_tristesse","417652","","3596","20160616003757"
"199","Caul","426399","","15669","20160607214100"
"200","Proteinogenic_amino_acid","427499","","27573","20160617214150"
"201","Hand_washing","428502","","46204","20160616202810"
"202","National_Institute_for_Health_and_Care_Excellence","429680","","36028","20160614064110"
"203","Home_birth","435128","","33105","20160614070041"
"204","Special_education","436831","","66663","20160619162006"
"205","Gay_Men's_Health_Crisis","437076","","9572","20160606003310"
"206","Hydrocele_testis","463349","","7386","20160606003310"
"207","Public_health","463734","","70271","20160617165542"
"208","Inari_Ōkami","471315","","16724","20160617165542"
"209","Phytochemical","472231","","9727","20160606003310"
"210","Go_Ask_Alice!","476602","","3069","20160512154653"
"211","Shower","477822","","24171","20160617165542"
"212","Disinfectant","478185","","39818","20160619152230"
"213","Work_accident","483401","","7583","20160617165542"
"214","Health_insurance","490201","","78189","20160617180251"
"215","Occupational_injury","491353","","21675","20160612042019"
"216","Oligosaccharide","501376","","13381","20160617165542"
"217","Thirst","509632","","11549","20160619155708"
"218","Neurofeedback","510370","","33121","20160611223455"
"219","Injury","515534","","6826","20160619162006"
"220","Sex_reassignment_therapy","517391","","48266","20160616182655"
"221","Natural_childbirth","525804","","9949","20160606003310"
"222","Hazard_symbol","528679","","17462","20160616222956"
"223","Essential_nutrient","529854","","2156","20160616222956"
"224","Personal_grooming","530013","","5791","20160613165521"
"225","Foodborne_illness","531611","","54747","20160617165542"
"226","Breech_birth","532508","","35363","20160617165542"
"227","International_Epidemiological_Association","533235","","25236","20160410140148"
"228","National_Childbirth_Trust","548627","","8124","20160606003310"
"229","Universal_health_care","570661","","32452","20160618141932"
"230","Laboratory_information_management_system","570749","","28138","20160611121327"
"231","Self-medication","578436","","26438","20160617165542"
"232","Uterine_contraction","584416","","3681","20160606003310"
"233","Fetal_distress","584452","","3373","20160606003310"
"234","Remote_surgery","586307","","14665","20160607140613"
"235","Men_who_have_sex_with_men","591031","","48272","20160615222252"
"236","List_of_hospice_programs","610410","","3346","20160615105910"
"237","Low_back_pain","618631","","74733","20160617165542"
"238","Perineal_massage","621189","","6688","20160614065717"
"239","Deductible","636959","","8406","20160619162006"
"240","The_World_Starts_with_Me","637629","","994","20160612192119"
"241","Prenatal_diagnosis","647286","","47824","20160617165542"
"242","Precocious_puberty","651370","","25484","20160616020255"
"243","Delayed_puberty","651378","","18199","20160606003310"
"244","Dishwashing","651576","","8630","20160617091723"
"245","Women's_health","656951","","6878","20160619162006"
"246","Plethysmograph","676406","","9260","20160612140740"
"247","Contact_dermatitis","692633","","16865","20160619053631"
"248","Food_First_Information_and_Action_Network","696369","","7591","20160617165542"
"249","Videophone","702788","","97413","20160617165542"
"250","Reproductive_rights","706186","","76394","20160618105201"
"251","Chief_Medical_Officer_(United_Kingdom)","706198","","9148","20160616224051"
"252","Thorotrast","716048","","5338","20151116093124"
"253","Latex_allergy","722360","","17880","20160607140827"
"254","Social_hygiene_movement","726604","","4138","20160612042739"
"255","Transmission_(medicine)","729317","","24019","20160616222956"
"256","Performance_status","730932","","5924","20160614064110"
"257","Urinal_deodorizer_block","737834","","4374","20160606003310"
"258","Feeble-minded","739570","","5903","20160606003310"
"259","Visual_snow","739855","","11578","20160617011006"
"260","Body_odor","747239","","19187","20160618212612"
"261","Orchitis","759377","","6109","20160618203439"
"262","Sexual_network","761234","","6201","20160614071941"
"263","Industrial_noise","763780","","6548","20160612140740"
"264","Circumcision_controversies","765782","","62384","20160618160035"
"265","Construction_site_safety","766544","","25921","20160610155545"
"266","Nutritionist","771326","","13764","20160617165542"
"267","Telemedicine","774446","","61995","20160617165542"
"268","Hygiene_program","777113","","1850","20160612140740"
"269","Medical_identification_tag","778440","","8779","20160612172514"
"270","Ralstonism","782207","","4626","20160527171231"
"271","Enzyte","784032","","14059","20160606003310"
"272","Psychological_trauma","788091","","35117","20160617165542"
"273","Occupational_hygiene","790153","","35814","20160606003310"
"274","Public_health_law","794242","","5764","20160606003310"
"275","Breast_milk","795199","","43873","20160618134414"
"276","Medical_savings_account","797848","","2465","20160606003310"
"277","Health_effects_of_tea","808818","","19006","20160616221101"
"278","Comparison_of_the_healthcare_systems_in_Canada_and_the_United_States","811714","","104525","20160614064110"
"279","Psychoneuroimmunology","816012","","36280","20160616222956"
"280","Co-counselling","818329","","19075","20160614070041"
"281","Bleed_air","827023","","12282","20160618154931"
"282","Consumer_health_informatics","835574","","3379","20160606003310"
"283","Abdominal_aortic_aneurysm","841096","","58647","20160620010456"
"284","Ergosterol","842910","","8926","20160611110630"
"285","Two-tier_healthcare","855199","","13985","20160612140740"
"286","DOTS_(Directly_Observed_Treatment,_Short-Course)","878519","","9666","20160614071941"
"287","Hair_conditioner","887815","","7515","20160617151205"
"288","Tropical_disease","889672","","24202","20160610162232"
"289","Dipsomania","900035","","7387","20160606003310"
"290","Phytoestrogens","912933","","33933","20160619225658"
"291","Bernardino_Ramazzini","913947","","13358","20160617165542"
"292","Nutrient_sensing","917280","","5867","20160606003310"
"293","Assisted_living","925356","","13606","20160619162006"
"294","Acceptable_daily_intake","936557","","5575","20160606003310"
"295","International_Classification_of_Functioning,_Disability_and_Health","965404","","14264","20160614064110"
"296","Medical_malpractice_in_the_United_States","965553","","36470","20160617191758"
"297","Ellen_Swallow_Richards","967844","","40896","20160617165542"
"298","Genuine_progress_indicator","972079","","33614","20160617064902"
"299","Auxology","973095","","4777","20160524153437"
"300","Nitpicking","974924","","1379","20160612140740"
"301","Amniotic_fluid","977752","","10348","20160617165542"
"302","Mental_health","990505","","82024","20160617165542"
"303","Food_fight","990772","","2925","20160606003310"
"304","Naegele's_rule","996743","","8092","20160606003310"
"305","Human_decontamination","1004399","","11777","20160612140740"
"306","Mass_decontamination","1010901","","4636","20160529183405"
"307","Functional_food","1014424","","4953","20160617165542"
"308","Degenerative_disease","1015016","","3904","20160612140740"
"309","Single-payer_healthcare","1043143","","50204","20160616221101"
"310","Audiology","1050386","","20465","20160606003310"
"311","Monounsaturated_fat","1051404","","9903","20160619162006"
"312","Chemical_hazard","1051526","","5077","20160607184312"
"313","Maternal_bond","1055090","","9650","20160606003310"
"314","Against_medical_advice","1069136","","6210","20160606003310"
"315","Neurodiversity","1073739","","32305","20160616222956"
"316","Vegetarian_nutrition","1074205","","36062","20160619114122"
"317","Glycemic_load","1074264","","10553","20160617165542"
"318","Hospital_information_system","1075997","","6922","20160618134414"
"319","Cancer_registry","1077065","","10780","20160606003310"
"320","International_Baby_Food_Action_Network","1079867","","2028","20160526130603"
"321","Decontamination_foam","1084968","","3051","20160606003310"
"322","International_Code_of_Marketing_of_Breast-milk_Substitutes","1092116","","10318","20160606003310"
"323","NHS_Direct","1098322","","17259","20160606033432"
"324","Medical_record","1107036","","27441","20160618134414"
"325","Liberal_eugenics","1115424","","8460","20160615134936"
"326","Social_model_of_disability","1117658","","18577","20160615174224"
"327","Rete_tubular_ectasia","1121947","","2184","20160606003310"
"328","Person-centered_therapy","1123793","","11731","20160617165542"
"329","World_Toilet_Day","1140356","","12768","20160613174116"
"330","Micronutrient","1148672","","12336","20160606003310"
"331","Testicular_atrophy","1150541","","460","20160612140740"
"332","Bugchasing","1157492","","22067","20160614064110"
"333","Rupture_of_membranes","1166241","","3475","20160606003310"
"334","Adaptation_to_extrauterine_life","1167123","","9626","20160615165428"
"335","Chief_Public_Health_Officer_of_Canada","1170909","","1436","20160526130603"
"336","Telehealth","1177467","","41498","20160617050528"
"337","Nutrigenomics","1188046","","18189","20160618235758"
"338","Medical_model_of_disability","1188531","","5673","20160612140740"
"339","RAND_Health_Insurance_Experiment","1191433","","14386","20160512153044"
"340","Gateway_drug_theory","1197243","","16010","20160610005502"
"341","Ethics_of_circumcision","1210949","","46353","20160610192954"
"342","Threshold_limit_value","1214579","","8472","20160606003310"
"343","Wet-bulb_globe_temperature","1214697","","4520","20160614071941"
"344","Water_birth","1219218","","8010","20160606003310"
"345","Nutraceutical","1221381","","11557","20160606003310"
"346","Community_health","1223546","","3177","20160616173053"
"347","Adolf_Hitler's_health","1233875","","16134","20160616221101"
"348","Steerage_(deck)","1239261","","5835","20160619162006"
"349","Fetal_alcohol_spectrum_disorder","1248929","","77775","20160618044116"
"350","Altitude_training","1269618","","25486","20160606003310"
"351","Mobile_phone_radiation_and_health","1272748","","93461","20160617165542"
"352","Limp","1278527","","8591","20160606003310"
"353","Comfort_food","1286863","","34704","20160619162006"
"354","Medical_guideline","1294685","","11916","20160606003310"
"355","Carbonless_copy_paper","1296030","","11371","20160606003310"
"356","Asbestos_and_the_law","1298976","","55169","20160611222714"
